# gunzip -c data/dec_gop_572_gm/alignments/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py /media/run/kaldi/egs/iitm_baseline/English_ASR_Challenge/asr/data/lang_gop_ph/ 
# Started at Sat Jun 24 18:22:35 IST 2023
#
Overall, OW_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.8,27) frames.
Overall, Y_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.3,21) frames.
Overall, NG_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,16) frames.
Overall, AA_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.7,30) frames.
Overall, M_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.8,23) frames.
The optional-silence phone SIL occupies 26.3% of frames overall 
Limiting the stats to the 95.9% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 23.2% of frames.
Assuming 100 frames per second, the alignments represent 5.8 hours of data, or 4.3 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 10.1% of utterance-internal phones, with duration (median, mean, 95-percentile) = (22,31.4,95)
# Accounting: time=0 threads=1
# Ended (code 0) at Sat Jun 24 18:22:35 IST 2023, elapsed time 0 seconds
